Sessione;Elezione;Nome_Elezione;Sezione;Municipio;CollCam;CollSen;CollPro;Lista;Voti
05/06/2016;1;Elezioni Comunali - Sindaco;1;1;;;;Nicolo' Mardegan;4
05/06/2016;1;Elezioni Comunali - Sindaco;2;8;;;;Nicolo' Mardegan;4
05/06/2016;1;Elezioni Comunali - Sindaco;3;8;;;;Nicolo' Mardegan;3
05/06/2016;1;Elezioni Comunali - Sindaco;4;7;;;;Nicolo' Mardegan;7
05/06/2016;1;Elezioni Comunali - Sindaco;5;1;;;;Nicolo' Mardegan;7
05/06/2016;1;Elezioni Comunali - Sindaco;6;9;;;;Nicolo' Mardegan;4
05/06/2016;1;Elezioni Comunali - Sindaco;7;1;;;;Nicolo' Mardegan;4
05/06/2016;1;Elezioni Comunali - Sindaco;8;6;;;;Nicolo' Mardegan;8
05/06/2016;1;Elezioni Comunali - Sindaco;9;1;;;;Nicolo' Mardegan;5
05/06/2016;1;Elezioni Comunali - Sindaco;10;3;;;;Nicolo' Mardegan;2
05/06/2016;1;Elezioni Comunali - Sindaco;11;8;;;;Nicolo' Mardegan;8
05/06/2016;1;Elezioni Comunali - Sindaco;12;7;;;;Nicolo' Mardegan;2
05/06/2016;1;Elezioni Comunali - Sindaco;13;1;;;;Nicolo' Mardegan;3
05/06/2016;1;Elezioni Comunali - Sindaco;14;8;;;;Nicolo' Mardegan;5
05/06/2016;1;Elezioni Comunali - Sindaco;15;7;;;;Nicolo' Mardegan;3
05/06/2016;1;Elezioni Comunali - Sindaco;16;1;;;;Nicolo' Mardegan;1
05/06/2016;1;Elezioni Comunali - Sindaco;17;5;;;;Nicolo' Mardegan;0
05/06/2016;1;Elezioni Comunali - Sindaco;18;8;;;;Nicolo' Mardegan;5
05/06/2016;1;Elezioni Comunali - Sindaco;19;8;;;;Nicolo' Mardegan;13
05/06/2016;1;Elezioni Comunali - Sindaco;20;8;;;;Nicolo' Mardegan;6
05/06/2016;1;Elezioni Comunali - Sindaco;21;4;;;;Nicolo' Mardegan;0
05/06/2016;1;Elezioni Comunali - Sindaco;22;1;;;;Nicolo' Mardegan;6
05/06/2016;1;Elezioni Comunali - Sindaco;23;3;;;;Nicolo' Mardegan;10
05/06/2016;1;Elezioni Comunali - Sindaco;24;1;;;;Nicolo' Mardegan;9
05/06/2016;1;Elezioni Comunali - Sindaco;25;8;;;;Nicolo' Mardegan;1
05/06/2016;1;Elezioni Comunali - Sindaco;26;1;;;;Nicolo' Mardegan;4
05/06/2016;1;Elezioni Comunali - Sindaco;27;1;;;;Nicolo' Mardegan;19
05/06/2016;1;Elezioni Comunali - Sindaco;28;1;;;;Nicolo' Mardegan;5
