Continente,Paese,Oro,Argento,Bronzo
EU,Regno Unito,22,21,22
EU,Paesi Bassi,10,12,14
EU,Francia,10,12,11
EU,Germania,10,11,16
EU,Italia,10,10,20
EU,Ungheria,6,7,7
EU,Poland,4,5,5
EU,Repubblica Ceca,4,4,3
EU,Norvegia,4,2,2
EU,Spagna,3,8,6
EU,Sweden,3,6,0
Eu,Svizzera,3,4,6
EU,Danimarca,3,4,4
EU,Croazia,3,3,2
EU,Serbia,3,1,5
EU,Belgio,3,1,3
EU,Bulgaria,3,1,2
EU,Slovenia,3,1,1
EU,Turchia,2,2,9
EU,Greece,2,1,1
EU,Ireland,2,0,2
EU,Ucraina,1,6,12
EU,Belarus,1,3,3
EU,Romania,1,3,0
EU,Slovakia,1,2,1
EU,Austria,1,1,5
EU,Portugal,1,1,2
EU,San Marino,0,1,2
EU,Lithuania,0,1,0
EU,North Macedonia,0,1,0
EU,Finland,0,0,2
