"fertilità" "agricoltura" "istruzione"
80.2 17 2.485
83.1 45.1 2.197
92.5 39.7 1.609
85.8 36.5 1.946
76.9 43.5 2.708
76.1 35.3 1.946
83.8 70.2 1.946
92.4 67.8 2.079
82.4 53.3 1.946
82.9 45.2 2.565
87.1 64.5 1.792
64.1 62 2.485
66.9 67.5 1.946
68.9 60.7 2.485
61.7 69.3 1.609
68.3 72.6 0.693
71.7 34 2.079
55.7 19.4 3.332
54.3 15.2 2.996
65.1 73 2.197
65.5 59.8 2.303
65 55.1 1.099
56.6 50.9 2.485
72.5 71.2 0
57.4 54.1 1.792
74.2 58.1 2.079
72 63.5 1.099
60.5 60.8 2.303
58.3 26.8 2.944
65.4 49.5 2.079
75.5 85.9 0.693
69.3 84.9 1.792
77.3 89.7 0.693
70.5 78.2 1.792
79.4 64.9 1.099
65 75.9 2.197
92.2 84.6 1.099
79.3 63.1 2.565
70.4 38.4 2.485
65.7 7.7 2.398
72.7 16.7 2.565
64.4 17.6 3.466
77.6 37.6 1.946
67.6 18.7 1.946
35 1.2 3.97
44.7 46.6 3.367
42.8 27.7 3.367
