"Salvato","Classe"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","I"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
"Si","II"
