"emoglobina","Metodologia"
14.98654,"A"
15.14828,"A"
15.15741,"A"
14.78573,"A"
15.00364,"A"
15.06475,"A"
14.99282,"A"
14.92189,"A"
14.93331,"A"
14.94189,"A"
15.22719,"A"
14.64697,"A"
14.85369,"A"
15.35937,"A"
15.0951,"A"
14.70682,"A"
14.88053,"A"
15.11486,"A"
15.01449,"A"
15.10965,"A"
14.72711,"A"
14.9809,"A"
14.7541,"A"
14.90115,"A"
15.21905,"A"
14.97432,"A"
15.04769,"A"
14.90602,"A"
15.11311,"A"
14.78668,"A"
14.94863,"A"
15.05302,"A"
14.94836,"A"
14.99909,"A"
14.89628,"A"
15.19492,"A"
14.7778,"A"
15.4049,"A"
15.34432,"A"
14.71978,"A"
14.7235,"A"
15.31984,"A"
15.15886,"A"
15.49579,"A"
15.32448,"A"
14.98809,"A"
15.10179,"A"
15.2989,"A"
15.26597,"A"
15.09788,"A"
14.72764,"A"
15.14286,"A"
14.71813,"A"
15.03142,"A"
14.99039,"A"
14.89292,"A"
15.10421,"A"
15.45162,"A"
15.00441,"A"
14.9044,"A"
15.02576,"A"
14.84693,"A"
15.1496,"A"
14.55898,"A"
15.08752,"A"
15.09658,"A"
15.00574,"A"
15.03512,"A"
15.461,"A"
15.05996,"A"
15.15891,"A"
15.088,"A"
15.10667,"A"
15.00653,"A"
14.86939,"A"
15.16498,"A"
14.97908,"A"
15.00001,"A"
14.67176,"A"
15.01569,"A"
14.88455,"A"
14.51907,"A"
15.3029,"A"
14.93205,"A"
14.44163,"A"
14.80356,"A"
14.95201,"A"
15.11953,"A"
14.7509,"A"
14.86912,"A"
14.92036,"A"
14.9327,"A"
15.2216,"A"
14.99575,"A"
15.29087,"A"
14.77203,"A"
15.06394,"A"
15.1773,"A"
14.98397,"A"
14.66592,"A"
14.5832,"A"
15.01237,"A"
14.92472,"A"
14.98695,"A"
15.46952,"A"
15.38937,"A"
14.88044,"A"
14.98658,"A"
15.14976,"A"
15.18066,"A"
14.73762,"A"
14.84952,"A"
15.0408,"A"
14.70853,"A"
14.86475,"A"
14.94835,"A"
14.64653,"A"
15.64405,"A"
15.33492,"A"
14.73466,"A"
14.90708,"A"
15.02215,"A"
14.97803,"A"
15.28139,"A"
14.97825,"A"
14.93426,"A"
14.79222,"A"
14.76657,"A"
15.15009,"A"
14.89586,"A"
14.96936,"A"
15.00198,"A"
15.33279,"A"
15.23659,"A"
15.07793,"A"
15.13632,"A"
15.05976,"A"
14.98333,"A"
14.83856,"A"
15.02708,"A"
15.03368,"A"
14.73821,"A"
15.15963,"A"
15.22495,"A"
15.32498,"A"
14.75861,"A"
15.1345,"A"
14.96983,"A"
15.41413,"A"
15.12123,"A"
15.13055,"A"
15.00559,"A"
14.83167,"A"
14.76792,"A"
15.28734,"A"
15.20681,"A"
15.26423,"A"
14.73072,"A"
14.60118,"A"
15.23278,"A"
15.12612,"A"
15.09414,"A"
14.93821,"A"
14.6009,"A"
14.97181,"A"
14.64953,"A"
14.78898,"A"
14.82059,"A"
14.58239,"A"
14.88403,"A"
15.19361,"A"
14.79514,"A"
14.83009,"A"
15.11935,"A"
15.11013,"A"
14.98879,"A"
14.91813,"A"
15.15046,"A"
14.86291,"A"
15.34034,"A"
14.62067,"B"
15.26097,"B"
14.87602,"B"
15.45027,"B"
15.09104,"B"
15.31831,"B"
15.06252,"B"
15.19373,"B"
14.31944,"B"
15.36786,"B"
15.48341,"B"
15.0178,"B"
14.34351,"B"
14.58493,"B"
14.97563,"B"
15.29785,"B"
15.28055,"B"
15.53123,"B"
13.82846,"B"
15.1236,"B"
14.83586,"B"
15.60325,"B"
14.85619,"B"
15.01115,"B"
14.64376,"B"
14.9536,"B"
15.53356,"B"
15.69041,"B"
15.10458,"B"
14.56744,"B"
15.19535,"B"
15.12521,"B"
14.78997,"B"
14.90338,"B"
15.45271,"B"
15.21145,"B"
15.02647,"B"
14.81672,"B"
15.38435,"B"
15.33135,"B"
15.43368,"B"
14.49792,"B"
14.82239,"B"
14.67267,"B"
15.06001,"B"
15.3827,"B"
14.60696,"B"
15.22274,"B"
15.32998,"B"
15.22515,"B"
14.4269,"B"
15.04781,"B"
15.33431,"B"
15.21277,"B"
14.87049,"B"
14.51086,"B"
14.44305,"B"
14.97657,"B"
14.78323,"B"
14.8869,"B"
14.59041,"B"
15.53938,"B"
14.58149,"B"
15.02527,"B"
14.75993,"B"
14.91381,"B"
15.09344,"B"
14.98552,"B"
15.06626,"B"
15.07602,"B"
14.96841,"B"
15.25176,"B"
15.54403,"B"
15.04272,"B"
14.74762,"B"
14.99012,"B"
14.37135,"B"
14.83015,"B"
15.27419,"B"
14.97257,"B"
15.168,"B"
15.15758,"B"
14.58378,"B"
14.74625,"B"
15.21816,"B"
14.68988,"B"
14.84746,"B"
14.96116,"B"
14.89107,"B"
15.18928,"B"
14.74481,"B"
15.13047,"B"
15.32593,"B"
14.72724,"B"
14.58473,"B"
15.4404,"B"
15.24214,"B"
15.30457,"B"
14.82695,"B"
14.46866,"B"
15.38612,"B"
15.11671,"B"
14.59706,"B"
15.63418,"B"
15.64006,"B"
15.80354,"B"
15.10098,"B"
14.86442,"B"
15.30405,"B"
14.84417,"B"
15.15673,"B"
14.59326,"B"
14.85794,"B"
14.96338,"B"
14.74834,"B"
15.19424,"B"
14.97163,"B"
14.90797,"B"
14.75423,"B"
14.9982,"B"
15.1263,"B"
15.03021,"B"
15.01365,"B"
14.76965,"B"
14.53352,"B"
15.27177,"B"
14.92428,"B"
14.65803,"B"
15.18722,"B"
14.63107,"B"
15.13094,"B"
15.01104,"B"
15.29568,"B"
15.09679,"B"
15.28104,"B"
14.71408,"B"
14.93787,"B"
14.9602,"B"
15.6547,"B"
15.06021,"B"
14.93443,"B"
14.88797,"B"
15.03316,"B"
15.44367,"B"
14.47115,"B"
15.19742,"B"
14.99877,"B"
14.93377,"B"
15.36101,"B"
15.33171,"B"
15.00974,"B"
14.60602,"B"
14.99329,"B"
14.8794,"B"
14.90026,"B"
14.8842,"B"
15.17093,"B"
14.91092,"B"
15.11042,"B"
15.11187,"B"
14.85419,"B"
14.71329,"B"
15.21515,"B"
14.99674,"B"
14.82704,"B"
15.22224,"B"
15.425,"B"
15.54409,"B"
14.7189,"B"
15.15306,"B"
15.40174,"B"
15.17822,"B"
15.15458,"B"
15.41121,"B"
15.67266,"B"
14.99509,"B"
14.78124,"B"
15.07308,"B"
14.85328,"B"
15.13676,"B"
